No SDtrue SDest n
0.00000 0.03259 0.02965 100.00000
1.00000 0.01804 0.02590 90.00000
2.00000 0.03440 0.03135 120.00000
3.00000 0.04536 0.03620 70.00000
4.00000 0.02428 0.02380 140.00000
5.00000 0.00524 0.01019 70.00000
6.00000 0.04077 0.03339 80.00000
7.00000 0.04993 0.03251 120.00000
8.00000 0.03082 0.03013 70.00000
9.00000 0.00077 0.00153 100.00000
10.00000 0.01067 0.01800 120.00000
11.00000 0.00369 0.00735 20.00000
12.00000 0.04431 0.03867 90.00000
13.00000 0.00335 0.00658 100.00000
14.00000 0.03191 0.03048 100.00000
15.00000 0.01110 0.02001 70.00000
16.00000 0.00865 0.01515 120.00000
17.00000 0.01763 0.02320 130.00000
18.00000 0.01938 0.02583 110.00000
19.00000 0.04880 0.03506 70.00000
20.00000 0.02813 0.02648 130.00000
21.00000 0.00599 0.01149 100.00000
22.00000 0.02284 0.02786 90.00000
23.00000 0.00430 0.00843 60.00000
24.00000 0.02052 0.02518 110.00000
25.00000 0.01272 0.02047 110.00000
26.00000 0.04839 0.03123 110.00000
27.00000 0.01846 0.02454 120.00000
28.00000 0.01949 0.02656 100.00000
29.00000 0.03635 0.03439 90.00000
30.00000 0.01612 0.02205 150.00000
31.00000 0.00103 0.00205 100.00000
32.00000 0.01387 0.02277 70.00000
33.00000 0.04066 0.03026 110.00000
34.00000 0.01435 0.02208 110.00000
35.00000 0.02921 0.03751 60.00000
36.00000 0.03373 0.03636 60.00000
37.00000 0.00897 0.01660 70.00000
38.00000 0.00739 0.01330 130.00000
39.00000 0.02261 0.02811 100.00000
40.00000 0.01340 0.02212 80.00000
41.00000 0.02073 0.02539 110.00000
42.00000 0.00406 0.00787 120.00000
43.00000 0.04886 0.04026 80.00000
44.00000 0.02744 0.03127 90.00000
45.00000 0.02810 0.03484 70.00000
46.00000 0.00011 0.00023 80.00000
47.00000 0.01651 0.02289 140.00000
48.00000 0.03185 0.03185 100.00000
49.00000 0.04214 0.03697 70.00000
50.00000 0.04771 0.02813 140.00000
51.00000 0.01071 0.01808 110.00000
52.00000 0.01504 0.02222 130.00000
53.00000 0.03465 0.02998 100.00000
54.00000 0.03838 0.03336 90.00000
55.00000 0.01198 0.02042 70.00000
56.00000 0.04673 0.03008 120.00000
57.00000 0.04146 0.05079 40.00000
58.00000 0.00147 0.00293 140.00000
59.00000 0.00558 0.01047 120.00000
60.00000 0.02758 0.02495 160.00000
61.00000 0.04320 0.03070 110.00000
62.00000 0.01622 0.02631 80.00000
63.00000 0.00647 0.01258 50.00000
64.00000 0.00978 0.01822 80.00000
65.00000 0.04219 0.03000 100.00000
66.00000 0.02883 0.04045 40.00000
67.00000 0.01633 0.02246 110.00000
68.00000 0.00471 0.00906 110.00000
69.00000 0.00884 0.01596 110.00000
70.00000 0.02619 0.02569 150.00000
71.00000 0.01464 0.02323 90.00000
72.00000 0.01927 0.02339 150.00000
73.00000 0.03855 0.02820 160.00000
74.00000 0.02713 0.03607 60.00000
75.00000 0.00593 0.01140 80.00000
76.00000 0.04051 0.03212 100.00000
77.00000 0.03902 0.03137 90.00000
78.00000 0.00981 0.01870 40.00000
79.00000 0.03852 0.03194 90.00000
80.00000 0.00598 0.01111 140.00000
81.00000 0.02734 0.02650 160.00000
82.00000 0.01360 0.02256 80.00000
83.00000 0.01219 0.01835 150.00000
84.00000 0.04532 0.03828 90.00000
85.00000 0.00266 0.00528 70.00000
86.00000 0.01574 0.02275 100.00000
87.00000 0.02053 0.02436 140.00000
88.00000 0.04398 0.03528 90.00000
89.00000 0.00914 0.01505 200.00000
90.00000 0.00922 0.01756 60.00000
91.00000 0.04619 0.03205 100.00000
92.00000 0.02736 0.02696 130.00000
93.00000 0.04313 0.02806 140.00000
94.00000 0.01749 0.02790 50.00000
95.00000 0.00589 0.01134 70.00000
96.00000 0.01821 0.02683 70.00000
97.00000 0.01739 0.02564 80.00000
98.00000 0.04244 0.03700 90.00000
99.00000 0.02832 0.02497 160.00000
